"time","Lon","Lat"
2012-10-15 08:59:15,147.67,-43.133
2012-10-15 18:50:04,147.67,-43.133
2012-10-16 08:51:01,148.594940396947,-44.7122255317913
2012-10-16 18:49:12,148.959794600425,-44.8120035792558
2012-10-17 08:48:55,149.196818819216,-44.4627420727346
2012-10-17 18:52:32,148.929729070919,-43.9035599110462
2012-10-18 08:44:46,150.207492667577,-43.0266288066603
2012-10-18 18:39:13,151.084273473829,-42.976514110674
2012-10-19 08:48:55,149.845595816238,-42.8433210606589
2012-10-19 18:35:26,151.697609548068,-42.2731039385713
2012-10-20 08:43:54,150.666966521188,-41.4959675733791
2012-10-20 18:36:52,151.533139316442,-41.2791867722906
2012-10-21 08:49:20,149.583205466636,-41.3245661014469
2012-10-21 18:42:22,150.268993680401,-41.2402251901181
2012-10-22 08:43:56,150.616961047721,-40.6187745690411
2012-10-22 18:41:46,150.600212830865,-40.3256970380801
2012-10-23 08:48:27,149.856708468364,-40.2949385488899
2012-10-23 19:15:44,150.494946499942,-39.3133776971905
2012-10-24 08:14:44,153.513990096776,-38.0931686292509
2012-10-24 19:00:49,151.09326019439,-39.0764752354595
2012-10-25 08:49:44,150.297693998143,-40.831564496187
2012-10-25 18:37:14,150.262374949822,-40.9717670158619
2012-10-26 08:51:34,150.177690725177,-40.6094651055405
2012-10-26 18:35:09,150.924705004886,-40.269558752806
2012-10-27 08:29:46,152.533853595004,-40.1863184031822
2012-10-27 18:47:10,149.847585826926,-40.6131377603998
2012-10-28 09:04:39,148.231709117809,-41.5803514713904
2012-10-28 18:39:21,149.225330069675,-40.8984199865465
2012-10-29 08:44:47,151.217709865184,-39.9756183459323
2012-10-29 18:40:58,149.72508054429,-40.0802935186219
2012-10-30 08:57:55,149.677150805299,-40.4787913614006
2012-10-30 18:35:36,149.791069684923,-40.2761775675614
2012-10-31 08:49:49,150.951496454667,-40.1123296123419
2012-10-31 18:41:10,149.709326306019,-40.0503343524727
2012-11-01 08:44:42,151.007707703522,-40.3441229249222
2012-11-01 18:55:37,148.846867197942,-40.4360616429635
2012-11-02 09:03:51,149.250148203109,-41.1224562705739
2012-11-02 18:33:22,149.342500626893,-40.7655985130345
2012-11-03 08:44:06,151.139544261643,-39.9582077142116
2012-11-03 18:41:41,148.154593593623,-41.418125898451
2012-11-04 09:21:41,145.906514120423,-44.9165351538723
2012-11-04 18:40:16,142.980166889098,-46.678600909122
2012-11-05 10:25:17,138.839021680558,-52.568971967901
2012-11-05 18:37:04,136.388378170014,-53.1933354679014
2012-11-06 10:44:54,129.912510147327,-52.907652118323
2012-11-06 20:00:41,124.160167170147,-52.7066731560094
2012-11-07 11:33:02,119.147795224841,-52.5277046073857
2012-11-07 20:15:42,114.966669653434,-52.495670096427
2012-11-08 12:35:03,110.988063836526,-54.4556206981889
2012-11-08 20:10:43,109.739910224281,-54.6484654180118
2012-11-09 13:01:45,108.954710505236,-56.9118653450298
2012-11-09 19:51:20,109.11664285225,-57.0809940844098
2012-11-10 12:59:49,105.947040857575,-55.1297771959022
2012-11-10 20:31:36,104.12718684796,-54.8382510353158
2012-11-11 13:07:52,104.392186812742,-54.812063437662
2012-11-11 20:28:41,103.228892550277,-54.8500201254664
2012-11-12 13:20:23,101.716643730769,-54.3474860523649
2012-11-12 20:35:50,101.341032278717,-54.2157933448109
2012-11-13 13:24:47,99.4481787767924,-53.3785867663825
2012-11-13 20:51:54,98.4101640997118,-53.3274806759384
2012-11-14 13:44:52,95.0564323120959,-53.2816590139012
2012-11-14 21:12:19,93.8888987755683,-53.1919695410417
2012-11-15 14:06:40,93.9712475543106,-55.237783889426
2012-11-15 20:45:25,95.0199605410641,-55.2357288931296
2012-11-16 13:53:38,94.428526585617,-53.0534671595658
2012-11-16 21:37:42,94.9503463640289,-52.1674111047158
2012-11-17 13:01:51,106.092195988131,-52.5976058535543
2012-11-17 20:15:50,107.643345488009,-52.5326901527139
2012-11-18 12:13:39,119.858585116758,-52.8429185818987
2012-11-18 19:10:50,122.783039835999,-52.321760103613
2012-11-19 10:32:41,138.206554661046,-47.6553697935937
2012-11-19 18:22:41,140.65547511675,-47.0465350916234
2012-11-20 09:49:02,147.67,-43.133
2012-11-20 18:00:41,147.67,-43.133
2012-11-21 09:50:24,147.67,-43.133
2012-11-21 17:59:50,147.67,-43.133
2012-11-22 09:51:45,147.67,-43.133
2012-11-22 17:59:01,147.67,-43.133
2012-11-23 09:53:06,147.67,-43.133
2012-11-23 17:58:15,147.67,-43.133
2012-11-24 09:54:26,147.67,-43.133
2012-11-24 17:57:31,147.67,-43.133
2012-11-25 09:55:45,147.67,-43.133
2012-11-25 17:56:50,147.67,-43.133
2012-11-26 09:33:53,149.632672406102,-42.3038231465139
2012-11-26 18:06:52,148.930955674577,-42.2720984129326
2012-11-27 09:44:52,146.99181334355,-42.2197239307553
2012-11-27 18:21:20,145.250580773684,-42.8015846218562
2012-11-28 10:10:05,143.628639984651,-45.4820850457087
2012-11-28 18:13:26,141.909725282784,-46.7705414730205
2012-11-29 11:24:10,135.410793226996,-52.2747625521916
2012-11-29 18:35:59,133.284618098025,-52.5017700896811
2012-11-30 11:48:57,133.534924902368,-54.716635045756
2012-11-30 18:01:00,132.509654127551,-54.9480511827643
2012-12-01 12:23:37,131.816053194763,-56.9270513525205
2012-12-01 17:41:19,131.664471256213,-56.9363458748974
2012-12-02 12:03:50,135.949872061854,-56.1683993170513
2012-12-02 17:29:12,136.514542665761,-55.7120566080864
2012-12-03 10:55:14,139.071170996792,-48.2688114969592
