Date.Time	Lon	Lat	ARS			
2/11/2009 13:20	74.9727859	-47.9509163	0			
2/11/2009 13:53	74.9942856	-47.9441986	0			
2/11/2009 14:14	75.0092316	-47.9371681	0			
2/11/2009 16:34	75.1224899	-47.9114227	0			
2/11/2009 17:07	75.1493683	-47.9049225	0			
2/11/2009 17:41	75.1775055	-47.8993607	0			
2/11/2009 18:05	75.1981125	-47.8988113	0			
2/11/2009 18:27	75.2147675	-47.8998489	0			
2/11/2009 18:59	75.241272	-47.8945732	0			
2/11/2009 20:20	75.3100281	-47.8926849	0			
2/11/2009 21:18	75.3525162	-47.8800621	0			
2/11/2009 21:38	75.3712921	-47.8816643	0			
2/11/2009 22:19	75.3959885	-47.8939972	0			
3/11/2009 1:51	75.5311127	-47.8725357	0		75.8354167	-47.85051847
3/11/2009 2:55	75.5725098	-47.8697815	0			
3/11/2009 5:05	75.6408463	-47.8619347	0			
3/11/2009 6:18	75.6821289	-47.8548088	0			
3/11/2009 6:59	75.7121048	-47.8523483	0			
3/11/2009 8:02	75.7576523	-47.8393707	0			
3/11/2009 9:02	75.7870865	-47.8412704	0			
3/11/2009 9:54	75.809494	-47.8348389	0			
3/11/2009 10:56	75.8427124	-47.8318787	0			
3/11/2009 11:36	75.8627319	-47.82864	0			
3/11/2009 11:56	75.8716278	-47.8303871	0			
3/11/2009 12:30	75.8854675	-47.8306694	0			
3/11/2009 13:06	75.8965912	-47.8340187	0			
3/11/2009 13:26	75.8935089	-47.8376846	0			
3/11/2009 14:19	75.9143677	-47.8410263	0			
3/11/2009 19:12	76.0150757	-47.8677635	0			
3/11/2009 19:40	76.0235901	-47.8788528	0			
3/11/2009 21:32	76.0636826	-47.8788071	0			
3/11/2009 22:36	76.1106262	-47.8732338	0			
4/11/2009 6:00	76.4130173	-47.8160515	0			
4/11/2009 6:40	76.4387436	-47.8133202	0			
4/11/2009 7:01	76.4554901	-47.8126602	0			
4/11/2009 7:38	76.4865341	-47.813839	0			
4/11/2009 8:14	76.5082169	-47.8166504	0			
4/11/2009 8:50	76.5402145	-47.8210945	0			
4/11/2009 9:34	76.5704117	-47.8251495	0			
4/11/2009 10:16	76.6022186	-47.8334923	0			
4/11/2009 10:37	76.6149826	-47.8390236	0			
